MakeName,McLaren,Maserati,MINI,Chevrolet,Porsche,Acura,Mercedes-Benz,Ford,Genesis,Smart,Dodge,Scion,Rolls-Royce,Cadillac,Honda,Hyundai,Volkswagen,Mazda,Jeep,Infiniti,LandRover,Kia,Mitsubishi,BMW,FIAT,Lincoln,Lamborghini,Jaguar,GMC,Toyota,Nissan,AstonMartin,Volvo,Ferrari,Chrysler,Bentley,Tesla,Ram,AlfaRomeo,Subaru,Buick,Lexus,Audi,,
Honda,226,6,301,9,22,187,54,8,4,105,13,26,3,46,2193,36,21,41,5,29,21,17,12,2,62,6,55,10,75,218,7,113,18,24,4,15,21,8,9,59,12,21,126,,
Hyundai,68,1,36,3,6,29,27,6,1,17,4,5,1,20,52,316,4,16,1,10,11,3,3,0,36,2,12,3,25,65,0,42,3,1,1,4,9,4,7,22,0,13,29,,
Volkswagen,24,3,113,1,0,25,4,5,0,41,2,13,0,6,69,2,218,12,1,3,4,2,0,2,14,1,14,6,15,41,0,17,6,11,0,3,6,2,4,5,4,7,14,,
Mazda,66,4,56,6,11,62,11,4,2,29,3,17,2,25,57,6,6,328,1,6,9,3,2,2,39,2,16,3,41,45,3,63,7,3,1,9,7,1,8,28,4,15,44,,
Jeep,13,1,22,2,1,49,2,1,1,9,4,5,3,7,20,6,1,4,36,3,3,2,3,1,6,1,4,4,7,19,0,19,8,4,3,3,3,4,5,13,0,6,17,,
Infiniti,70,1,48,3,6,31,11,2,2,24,8,7,0,29,59,12,1,14,2,284,6,2,3,3,21,5,12,4,16,64,2,33,4,5,1,2,5,1,7,9,4,4,28,,
LandRover,70,3,31,0,7,28,22,10,1,27,5,10,4,16,47,10,2,16,0,5,207,3,7,0,38,1,7,4,39,49,1,44,9,3,5,3,5,1,5,40,0,11,27,,
Kia,25,5,35,12,13,78,6,1,5,9,4,9,2,17,37,7,1,7,2,3,10,174,1,1,11,7,15,11,16,40,1,50,11,5,2,7,11,3,13,3,3,17,38,,
Mitsubishi,29,2,19,3,2,18,9,0,0,6,5,4,1,10,24,10,2,5,0,8,7,3,130,2,10,4,11,4,5,25,0,23,7,2,11,4,5,1,2,6,1,5,16,,
BMW,8,3,16,0,0,24,2,2,4,8,2,9,1,6,16,0,5,6,0,2,3,1,0,37,7,0,4,3,6,16,1,11,5,6,2,3,5,3,5,2,1,3,13,,
FIAT,117,0,50,6,8,67,16,1,2,21,13,16,2,20,77,13,6,21,3,9,18,11,2,1,453,5,24,9,33,88,3,70,5,5,1,6,9,1,10,32,3,31,70,,
Lincoln,24,5,34,8,6,46,7,1,1,11,2,6,2,6,30,4,4,16,0,4,4,12,1,1,7,81,13,13,8,20,0,35,13,2,5,9,12,2,11,9,4,14,40,,
Lamborghini,72,3,74,3,3,62,12,1,3,42,4,9,0,18,81,13,20,21,0,14,8,7,2,0,19,10,601,11,24,84,3,52,11,12,3,4,11,4,8,21,4,11,42,,
Jaguar,17,5,40,8,9,61,6,3,2,14,6,2,2,11,28,3,2,10,1,2,6,7,2,0,26,7,10,74,11,41,0,33,8,4,1,6,7,1,13,15,2,14,41,,
GMC,178,6,102,10,23,63,29,9,6,49,16,18,4,32,129,27,11,43,3,16,26,5,7,1,63,1,22,7,736,144,2,73,11,12,3,6,12,5,9,60,9,28,55,,
Toyota,426,7,201,16,11,199,55,8,1,64,31,17,2,64,255,39,30,43,9,33,25,17,7,2,105,11,54,11,105,2456,2,139,22,15,5,26,29,3,13,94,5,64,102,,
Nissan,23,0,14,3,2,27,6,3,1,8,0,6,1,10,21,4,1,5,0,1,2,2,2,0,13,1,11,4,12,21,65,18,7,2,2,2,3,0,5,8,2,6,19,,
AstonMartin,116,9,122,23,19,303,23,4,6,35,7,14,5,20,116,19,6,38,0,12,17,21,10,3,77,3,21,20,51,121,4,1408,12,8,4,24,27,2,15,62,6,36,142,,
Volvo,64,7,57,5,24,83,16,2,10,28,4,13,4,10,85,7,4,13,0,4,13,11,3,0,26,4,16,16,35,71,0,83,103,6,1,11,11,8,19,21,0,9,55,,
Ferrari,31,3,47,2,0,34,11,0,2,39,2,4,0,8,36,10,5,15,0,2,3,2,2,1,9,1,8,6,9,39,1,21,4,157,0,4,2,3,3,7,1,8,21,,
Chrysler,30,0,15,2,0,16,10,0,2,14,2,4,3,8,35,7,2,2,0,6,0,2,7,2,6,1,6,3,5,34,0,23,3,5,59,4,5,2,12,9,3,2,17,,
Bentley,28,7,32,4,9,70,4,2,4,12,7,5,1,5,46,3,4,6,1,1,4,6,2,0,21,5,5,12,12,41,1,53,11,6,1,78,3,1,12,14,1,8,37,,
Tesla,82,7,72,9,16,71,9,5,5,18,9,10,5,17,66,14,12,16,0,11,6,12,3,2,26,8,24,14,34,75,1,64,15,8,1,10,179,4,11,34,2,22,68,,
Ram,19,2,65,2,1,18,5,2,3,97,3,9,5,4,53,2,3,15,4,5,5,1,0,1,9,0,11,3,7,30,0,17,4,4,0,0,1,90,3,16,3,1,16,,
AlfaRomeo,23,3,30,4,2,44,6,2,0,13,6,4,3,9,35,5,2,9,3,2,2,5,2,1,18,4,11,6,11,34,1,40,3,4,2,7,6,2,83,14,0,8,30,,
Subaru,116,2,50,4,5,43,21,4,1,37,23,12,6,15,92,31,5,35,5,5,50,6,13,3,32,5,27,7,56,100,1,56,10,3,3,4,20,3,4,769,2,26,59,,
Buick,21,0,25,2,0,27,4,0,0,10,0,3,0,7,19,2,1,2,0,4,1,0,1,1,5,2,4,4,2,17,0,12,2,0,0,3,1,0,9,5,50,0,12,,
Lexus,62,2,43,14,3,88,8,5,3,19,5,15,1,15,56,9,6,29,0,7,15,12,2,7,47,4,15,5,30,98,1,91,6,3,2,9,19,2,6,21,5,586,54,,
Audi,86,6,78,13,17,193,40,2,4,36,6,9,5,33,85,13,9,26,3,9,11,15,10,0,78,13,27,8,41,85,1,181,9,5,2,14,26,1,14,31,3,40,956,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2344,43.15963911,,Maserati,percent,,MINI,percent,,Chevrolet,percent,,Porsche,percent,,Acura,percent,,Mercedes-Benz,percent,,Ford,percent,,Genesis,percent,,Smart,ercent,,,,,,,,,,,,,,,,
,426,7.843859326,,90,34.09090909,,2044,41.97125257,,176,39.90929705,,127,26.68067227,,2520,46.28099174,,393,37.67976989,,53,23.66071429,,32,18.82352941,,816,38.34586466,,,,,,,,,,,,,,,,
